Danny,10,62,45,30,15,0
Danny,11,45,30,15,0,0
Igor Julio,8,0,0,0,0,62
Igor Julio,9,0,0,0,62,90
Igor Julio,10,0,0,62,90,90
Igor Julio,11,0,62,90,90,1
Jack,7,0,0,0,0,85
Jack,8,0,0,0,85,0
Jack,9,0,0,85,0,0
Jack,10,0,85,0,0,0
Jack,11,85,0,0,0,0
Carlos,8,0,0,16,4,90
Carlos,9,0,16,4,90,65
Carlos,10,16,4,90,65,70
Carlos,11,4,90,65,70,0
Anssumane,8,0,26,45,45,1
Anssumane,9,26,45,45,1,25
Anssumane,10,45,45,1,25,32
Anssumane,11,45,1,25,32,22
Ameen,6,90,90,90,90,90
Ameen,7,90,90,90,90,90
Ameen,7,90,90,90,90,90
Ameen,8,90,90,90,90,45
Ameen,9,90,90,90,45,90
Ameen,10,90,90,45,90,90
Ameen,11,90,45,90,90,0
Manuel Benson,6,16,45,0,0,4
Manuel Benson,7,45,0,0,4,0
Manuel Benson,7,0,0,4,0,0
Manuel Benson,8,0,4,0,0,0
Manuel Benson,9,4,0,0,0,0
Jordan,6,73,0,73,87,90
Jordan,7,0,73,87,90,90
Jordan,7,73,87,90,90,90
Jordan,8,87,90,90,90,0
Jordan,9,90,90,90,0,0
Jordan,10,90,90,0,0,0
Jordan,11,90,0,0,0,85
Josh,6,1,0,45,90,85
Josh,7,0,45,90,85,90
Josh,7,45,90,85,90,90
Josh,8,90,85,90,90,90
Josh,9,85,90,90,90,24
Josh,10,90,90,90,24,90
Josh,11,90,90,24,90,90
Jack,6,0,0,16,0,0
Jack,7,0,16,0,0,0
Jack,7,16,0,0,0,0
Josh,6,90,90,90,90,90
Josh,7,90,90,90,90,90
Josh,7,90,90,90,90,90
Josh,8,90,90,90,90,60
Josh,9,90,90,90,60,90
Josh,10,90,90,60,90,59
Josh,11,90,60,90,59,0
Lyle,6,90,80,90,90,0
Lyle,7,80,90,90,0,0
Lyle,7,90,90,0,0,79
Lyle,8,90,0,0,79,90
Lyle,9,0,0,79,90,90
Lyle,10,0,79,90,90,0
Lyle,11,79,90,90,0,0
Jóhann Berg,6,0,45,45,62,19
Jóhann Berg,7,45,45,62,19,0
Jóhann Berg,7,45,62,19,0,0
Jóhann Berg,8,62,19,0,0,0
Jóhann Berg,9,19,0,0,0,0
Jóhann Berg,10,0,0,0,0,80
Jóhann Berg,11,0,0,0,80,90
Dara,6,90,90,90,0,0
Dara,7,90,90,0,0,0
Dara,7,90,0,0,0,0
Dara,8,0,0,0,0,45
Dara,9,0,0,0,45,90
Dara,10,0,0,45,90,90
Dara,11,0,45,90,90,90
Connor,6,90,90,90,90,90
Connor,7,90,90,90,90,87
Connor,7,90,90,90,87,90
Connor,8,90,90,87,90,29
Connor,9,90,87,90,29,77
Connor,10,87,90,29,77,0
Connor,11,90,29,77,0,0
Jay,6,0,9,0,0,17
Jay,7,9,0,0,17,32
Jay,7,0,0,17,32,10
Jay,8,0,17,32,10,0
Jay,9,17,32,10,0,0
Jay,10,32,10,0,0,45
Jay,11,10,0,0,45,90
Charlie,6,0,0,0,90,90
Charlie,7,0,0,90,90,90
Charlie,7,0,90,90,90,90
Charlie,8,90,90,90,90,90
Charlie,9,90,90,90,90,90
Charlie,10,90,90,90,90,90
Charlie,11,90,90,90,90,90
Victor,6,90,0,0,0,0
Victor,7,0,0,0,0,2
Victor,7,0,0,0,2,0
Victor,8,0,0,2,0,60
Victor,9,0,2,0,60,0
Victor,10,2,0,60,0,90
